,Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
439,Gerente de Desarrollo AWS,"Miguel Hidalgo, Ciudad de México",HEX By Grupo Human,"Estamos en búsqueda de: Gerente de Desarrollo AWS  para incorporarse de forma indefinida en el equipo de desarrollo de la empresa como Gerente del área de Desarrollo e Innovación. La persona seleccionada desarrollará soluciones Back y Front-End basadas en tecnologías Amazon Web Services y microservicios, en un contexto técnico y metodológico DevOps. 

Funciones Principales: 
Realizar el análisis, diseño, implementación y desarrollo de soluciones BackEnd y FrontEnd, en AWS bajo metodología DevOps. 
Ejecutar el Test Plan y cumplir con la cobertura de test definida. 
Integrar los distintos desarrollos y soluciones técnicas. 
Elaborar documentación técnica. 
Participar en la revisión de la planificación en las distintas fases del proyecto. 

Requisitos: 
Indispensable experiencia con equipos que reporten de manera directa
Experiencia mínima de 5 años como Senior Back-End Developer o Senior Front-End Developer 
REACT based SPA applications 
GraphQL 
Total dominio de Java 
Javascript / ES6 / Typescript 
Angular, Ionic 
ORMLite, SQLite, Realm 
CI & CD 
Jira 
Java Microservices 
Relational y No Relational databases. Amazon S3. 
Conocimientos en los frameworks front más actuales. 
Manejo de arquitectura AWS (Amazon Web Services) para Configuración, Desarrollo e Integración 
Conocimiento de Metodología Desing Thinking 
Excelente sentido de User Experience y UI 
Dominio en el desarrollo e implementación de API’s o Webservices o Websockets","$ 90,000 a 100,000",Empleado de tiempo completo,Nivel Intermedio,,5 años,,"Java, JavaScript, TypeScript, Angular, React, Jira, Devops, AWS, S3, UI, graphql, Microservices",, Ciudad de México,2021-11-08
440,PHP/Laravel Senior Developer,"Tijuana, Baja California Norte",Cortier,"Descripción del empleo
 Desarrollador Senior PHP, especializado en Laravel para diseño,  implementación y deployment de aplicaciones SaaS.
Todas las prestaciones de la ley al 100%.
Requerimientos:
Ingeniería o Licenciatura relacionada con la tecnología.
3 años mínimo utilizando el Framework Laravel.
 5 años mínimo utilizando PHP.
Experiencia con Unit Testing (phpunit).
Conocimientos intermedios de DevOps y deployment de apps en la nube (Digital Ocean, Google Cloud, AWS, etc).
PLUS / no requerido:  Estar familiariado con Continuous Integration.
Edad: entre 25 y 40 años.
Conocimiento avanzado de HTML, Javascript y CSS.
Trabajar en ambiente linux o mac (NO WINDOWS).
Estar familiarizado con la terminal (shell/bash).
Amplios conocimientos (diseño y gestión) de base de datos relacionales, especialmente MySQL y/o POSTGRESQL.
Ampios conocimientos en Programación Orientada a Objetos y patrones de diseño y principios como: Dependency Injection, Factory, Repository, Facade, Service Provider, etc.
Ética Laboral Sólida.
Absoluta proactividad, iniciativa y mínima necesidad de supervisión.
Aptitudes para trabajo en equipo y espíritu de compañerismo.
Facilidad para el multitasking.
Gran sentido de organización, planeación, orden, dimensión del tiempo, fechas de entrega y cumplimiento de metas.
Alto grado de exigencia personal y compromiso.
Inglés: Comprensión leído y escuchado: 100%. NO SE REQUIERE HABLARLO .
Responsabilidades:
Diseño e implementación de aplicaciones web.
Pruebas unitarias.
Deployment y gestión de la aplicación en el servidor (DevOps general).
Uso de administradores de tareas como Trello, Asana, etc.
Mantenerse al día con las últimas tendencias y mejores prácticas de Laravel, MySQL, y otras tecnologías web.
Beneficios:
Agencia digital en crecimiento, pero con estilo boutique.
Ubicados en la mejor zona comercial de Tijuana (Zona Río).
Transporte público a unos cuantos pasos de la oficina.
Comedor.
Espacio moderno y cómodo para trabajar.
No se checa tarjeta y los horarios son flexibles.
Algunos días se pueden trabajar de forma remota.
Horario y ubicación:
Lunes a viernes 9 a 5/6 PM.
Estamos ubicados en Tijuana, B.C. Zona Río.
Tipo de puesto: Tiempo completo, Indefinido, con opción para trabajar algunos días de forma remota.
Salario: $30,000.00 al mes brutos, con posibilidades de aumento a base de resultados y alcance de metas.","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,"3 años, 5 años, 40 años",Trabajo en equipo,"C/C++, HTML, CSS, JavaScript, PHP, Bash, MySQL, PostgreSQL, Laravel, Trello, Linux, Digital Ocean, Devops, AWS",, Baja California Norte,2021-11-08
441,FullStack,"Benito Juárez, Ciudad de México",DESYSNET Consultores TI,"FullStack
Ubicación del proyecto: REMOTO
Duración del proyecto: 3 meses con extensión
Años de experiencia: 3 años
Programador Node.js con conocimiento en base de datos mongo DB, conocimiento en API, API gateway, conocimiento en programación de typescript.
Requisitos:
3 años de experiencia
Desarrollando en plataformas: AWS, GCP, AZURE
Experiencia Trabajando en equipos agiles: DevOps, PMI, SCRUM ETC.
Conocimientos Avanzados en Javascript:
Nest JS
Node Js
Angular JS y/o Flask
Type scrip
Mongo DB
Exposición y desarrollo de APIs
DESEABLE:
Experiencia en Kubernetes, Docker y Next Js
Conocimientos en desarrollo de aplicaciones basadas en microservicios y Serveless.
Apache Kafka","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Básico,,"3 años, 3 años",,"JavaScript, TypeScript, MongoDB, Angular, Flask, Node.js, Next.js, Scrum, Docker, Kubernetes, Devops, Kafka, AWS, Azure, GCP",, Ciudad de México,2021-11-08
442,Desarrollador Full Stack,"Cuajimalpa de Morelos, Ciudad de México",CLOUD CONTINUITY,"Experiencia de 3 a 5 años con habilidades en:

Lenguajes de programación y framework :

- React / HTLM / HTML5 (indispensables)
CSS3 / CSS (indispensables)
JavaScript / JQuery
#C / .NET / .NET Core 3.1 / .NET Core 5 (indispensables)
Manejo de Base de datos : PostgreSQL /MySQL / ORACLE
Mongo DB
Cosmos DB
Dynamo DB
Redis
Experiencia en Versionamiento de código

Azure DevOps / Jira
On Premises

IIS / Apache
Servicios REST
Manejo de arquitectura limpia
Funciones y tareas a desarrollar:

• Comprensión de HU (historias de usuario)
• Ejecución técnica de la comprensión de las HU (historias de usuario)
• Implementar procesos de buenas practicas
• Almacenamiento de código en el repositorios
• implementación de reglas de negocio en aplicativos
• generación de pruebas (a nivel desarrollo o generación de Unit test)
• trabajo bajo metodología Scrum
• estimación de tiempo por historias de usuario
• análisis técnico de afectación a procesos actuales de los proyectos
• propositivo para mejoras técnicas
• ser proactivo con comunicación continua a PM

Competencias:

· Organización

· Comunicación efectiva

· Capacidad Analítica

· Tolerancia al estrés.

· Proactividad.

· Autodidacta.

· Responsabilidad.

· Compromiso.

. Ética

Ofrecemos:
-Trabajo Remoto
-Prestaciones de Ley
-Oportunidades de crecimiento profesional y personal
-Gran equipo de trabajo","$ 25,000 a 30,000",Empleado de tiempo completo,Nivel Intermedio,,5 años,"Capacidad Analitica, Proactivo","C/C++, HTML, CSS, JavaScript, JQuery, MongoDB, MySQL, PostgreSQL, Oracle, Redis, React, Scrum, Jira, Devops, Redis, Azure, Cosmos DB",, Ciudad de México,2021-11-08
443,Desarrollador .Net Sr.,"Monterrey, Nuevo León",AXEN,"Tecnologías:
.NET (MVC, ASP.NET CORE 2)
C#
Jquery
Javascript
Json
Bootstrap
HTML5
CSS 3
Servicios Rest / APIs
Azure DevOps
SQL Server
GIT Source Control Version Control
Metodologia agil
Metodologia tradicional

Soft Skills
Inglés: escrito y leído, no se requiere conversación.
Proactivo
Auto organizado",No especificado,Empleado de tiempo completo,Nivel Intermedio,,,"Organizado, Proactivo","C/C++, HTML, CSS, JavaScript, SQL, JQuery, SQL server, Devops, Azure, Git",, Nuevo León,2021-11-08
444,SR. TECHNICAL PROJECT MANAGER,"Benito Juárez, Ciudad de México",CAPITAL EMPRESARIAL HORIZONTE SA DE CV,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita:
SR. TECHNICAL PROJECT MANAGER
Para laborar en Toluca
Perfil
Edad:  Indistinta.
Escolaridad:  Ingeniería en Sistemas, Informática o afín.
Estado Civil:  Indistinto.
Sexo:  Indistinto.
Experiencia:  Mínima de 3 años.
Idioma:  Inglés Intermedio – Avanzado Conversacional
Funciones que deberá dominar:
· Experiencia en Proyectos Tecnológicos, Liderando
Conocimientos framework Agile / DevOps, SAFE
Lenguaje de programación JAVA (preferible), Linux y Oracle Data Base. (Podría ser y Python, C #),
Deseable: Qliksense, Blue Prism
• Plataforma Linux
• Base de datos de Oracle
• Conocimiento ágil / seguro
• Proceso CNBV OPSHMO (Anexo 3)
• Proceso de incorporación de Banca Global
• Conocimiento de Core Banking Systems (proceso HOGAN, PSSW)
Ofrecemos:
· Horario de Lunes a Viernes (horario de oficina)
· Sueldo a negociar según experiencia… en brutos (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)
Interesados mandar su CV en formato Word al correo de contacto(arroba)horizonteempresarial.com.mx o comunicarse con la Lic. Nayeli Barrientos al 52 56 44 90 y 52 56 45 02.","$ 70,000 a 80,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,,"C/C++, Python, Java, Oracle, Linux, Devops, Qlik Sense",, Ciudad de México,2021-11-08
445,FullStack (Xamarin/C#/SQL),"Monterrey, Nuevo León",AXEN,"Fullstack developer
Experiencia: +4 años
Requerido: análisis, administración de requerimientos, diseño de arquitecturas de software, desarrollo e implementación
Deseable: Líder Técnico, manejo de equipos
Conocimiento técnico requerido: C#, Xamarin,  sql
MUY DESEABLE: APIs JavaScript, Web (angular), cloud, Kubernetes, contenedores, devops, azure devops, mongo db
No se requiere ingles ",No especificado,Empleado de tiempo completo,Nivel Intermedio,,+4 años,,"C/C++, JavaScript, SQL, MongoDB, Angular, Kubernetes, Devops, Azure",, Nuevo León,2021-11-08
446,Senior Development Engineering,"Toluca, Estado de México",HSBC México,"Senior Development Engineering
  Role Purpose. The Development Engineering job is responsible for leading in developing the most appropriate and secure Technology solutions using iterative software development/programming in line with the solution design, to meet customer needs, ensuring continuous improvement.
Main activities:
Work across one or more application development DevOps ‘pods’ as the Amazon Web Services (AWS) engineer
Build and manage Cloud environments to enable application deployments
Build and support continuous integration (CI), continuous delivery (CD) and continuous testing activities on Mulesoft
Engineering activities to implement patches provided centrally by Cloud Services
Development work to support automation of operational activities
Support non-functional testing of Digital Cloud services
Update support and operational documentation as required           
Requirements
• The ideal candidate for this role will have the below experience and qualifications: 
English Advance level
Strong understanding of CI/CD and available tools
Security and Compliance , for cloud compliance/auditing/monitoring tools
Customer/stakeholder focus. Ability to build strong relationships with Cloud Services, Application DevOps, cross functional IT and global/local IT teams
Good leadership and teamwork skills - Works collaboratively with DevOps application ‘pods’ to provide the digital cloud capability/skills required to deliver the service.
Operational effectiveness - delivers solutions that align to approved design patterns and security standards
Risk management effectiveness
Experienced in full automation and configuration management Desirable
Ability to quickly acquire new skills and tools
Proven AWS experience
Demonstrable experience of Linux administration and scripting preferably Red Hat
Experience working within an Agile environment
Experience operating in Financial Services
Technical experience of:
Ansible
Redhat Linux / Bash
Javascript/Phython/Node.JS
Jenkins (Groovy scripting)
Docker
AWS
Monitoring tools such as Splunk 
Linux Certification
 ","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Avanzado,,,"Collaborate, Leadership, Team Work","Groovy, JavaScript, Bash, Node.js, Linux, Ansible, Docker, Jenkins, Devops, AWS",, Estado de México,2021-11-08
447,Tester Automation,"Benito Juárez, Ciudad de México",AZKA IT CONSULTING SA DE CV,"Empresa multinacional de consultoría y servicios de tecnología de la información, en búsqueda de profesionales que requieran estabilidad laboral y nuevos retos en el ámbito profesional para trabajar con uno de sus clientes, considerada la consultora más prestigiosa del mundo. 


Requisitos para el puesto



● Experiencia práctica en automatización con Selenium C # o Java.
● Experiencia práctica en el uso de Azure DevOps (VSTS) para la gestión de pruebas.
● Experiencia en la configuración y el uso de canalizaciones de CI / CD en Azure DevOps.
● Experiencia práctica en el uso de Sauce Labs para pruebas en varios navegadores y sistemas operativos en paralelo
● Experiencia en automatización de API



Conocimientos de aplicación preferidos:

● Experiencia probando aplicaciones escritas en Java, C #, .Net, Angular y Node.js
● Experiencia en pruebas de bases de datos: SQL Server u Oracle; Mongo o Cosmos DB (preferido)
● Experiencia en el uso del conjunto de herramientas de Google para la colaboración (preferido).
● Experiencia en el uso de Headspin para pruebas móviles manuales o automatizadas (preferido)
● Pruebas en entornos de nube: Azure, Google y / o AWS (preferido)



Ingles conversacional


Principales responsabilidades del puesto


● Capacidad para realizar pruebas de integración del sistema.
● Capacidad para realizar estimaciones de prueba.
● Auto-motivado , trabajador en equipo, orientado a la acción y los resultados.
● Fuertes habilidades de comunicación verbal y escrita.
● Capaz de trabajar en estrecha colaboración con los desarrolladores a diario.
● Funcionar bien dentro de un equipo pequeño y también en varios equipos de scrum.


Prestaciones y beneficios adicionales


100% nómina
SGMM para el recurso y su familia directa
Seguro de Vida por 1 millón de pesos
Vales de despensa 
PTU de ley, aguinaldo de 30 días
10 días de vacaciones a partir del primer año
Beneficios adicionales como seguro dental, descuentos departamentales y en redes médicas.",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,,"C/C++, Java, SQL, Selenium, MongoDB, SQL server, Oracle, Angular, Node.js, Scrum, Devops, AWS, Azure, Cosmos DB",, Ciudad de México,2021-11-08
448,"""Desarrollador de software"" (Contratación inmediata)","Miguel Hidalgo, Ciudad de México",Brainup,"Somos una Empresa Mexicana de consultoría en TI y nos dedicamos a la administración de proyectos en diferentes Estados de la República Mexicana con más de 20 años de experiencia. Únete a un excelente equipo de trabajo.

Requisitos:
· Edad: Indistinto
· Sexo: Indistinto
· Licenciatura en Sistemas o carrera a fin (pasante o titulado)
· Experiencia: 5 años como Programador
· Inglés conversacional (indispensable)

Conocimientos:
1. Azure Devops.
2. Team Fundation Server.
3. Microsoft Project.
·  Manejo de tecnologías .NET, .NET Core, Angular, MVC, SQL Server, Microservicios, Web API (indispensable- Avanzado)
· Dominio intermedio con UML y herramientas de diseño (clases, secuencia, casos de usos y de estado).
· Competencia avanzada con herramientas de construcción e implementación (estudio visual, servidor de base de equipo).
· Comprensión intermedia de los principios de CI / CD.
·  Habilidades de programación avanzadas.
· Conocimiento avanzado de metodologías de desarrollo de software (como patrón de diseño de inyección de dependencias, principios de solid, Yagni Dry.
· Conocimiento avanzado del ciclo de vida del desarrollo de software (con metodología Scrum).
· Pruebas unitarias
.  Estar desarrollando actualmente en .Net

Ofrecemos:
· Prestaciones de ley
· Home Office
·  Sueldo 30,000 libres
· Excelente ambiente de trabajo
·  Contratación inmediata (en 2 días te damos una respuesta)
·  Horarios de Lunes a Viernes (disponibilidad de tiempo)
. Proyecto temporal

Comunícate con Lic. Elizabeth Fuentes para agendar entrevista 55 30 36 81 40 ó envía tu cv por WhatsApp","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,"20 años, 5 años",,"SQL, SQL server, Angular, Office, Scrum, Devops, Azure, Web API, UML",, Ciudad de México,2021-11-08
449,JAVA MICROSERVICIOS DEVELOPER,"Delaware, USA",Confidencial,"Requirements
Lookinf for a Java Microservices Developer to develop APIs/Microservices to integrate into the solution ecosystem.
Work in Agile delivery model to deliver incremental functionality
Collaborate with other teammates to ensure integrated end-to-end design
Document design decisions and enforce existing process guidelines
Follow best practices for Software Development
An inclination towards learning new technologies and applying them to solve customer problems
Leverage DevOps practices for Continuous Integration and Continuous Deployment

Benefits
- Concierge services in all the process.
- TN visa fee paid by the company
- Social Security Number travel expenses
- Relocation expenses:
      - Flight ticket
      - 2 weeks of housing
      - Relocation bonus of $600 USD
      - Reimbursement of Flight tickets and TD visa (spouse and children) after 1 year of labor.
- Family Health Insurance
- 401k (Retirement plan)
- Holidays
- 10 days of vacation
- Training and Certifications",No especificado,Empleado de tiempo completo,Nivel Avanzado,,1 year,"Collaborate, Continuously learn","Java, Devops, Microservices",, USA,2021-11-08
450,Desarrollador JAVA Sr / Home Office Permanente,Remoto,Gonet,"Gonet, empresa 100% mexicana con presencia Internacional líder en servicios de tecnología con oficinas en México y Estados Unidos. Proveemos a soluciones de negocios de alto impacto. 

Debido a nuestro constante crecimiento nos encontramos en búsqueda de talento como:


DESARROLLADOR JAVA


Requisitos:

Experiencia de 4 años como Desarrollador Java
Exeriencia en Microservicios
Conocimiento de Metodologías y frameworks ágiles de Desarrollo de Software (UML, SCRUM) 
Conocimientos de DevOps 
GitLab 
Jenkins


Ubicación de la vacante: HOME OFFICE PERMANENTE (se consideran candidatos de todas partes de la republica mexicana con disponibilidad de firmar contrato en Ciudad de México)

Horario de la vacante: Lunes a viernes de 9:00 am a 6:00 pm

 
Ofrecemos:

Sueldo Competitivo de Acuerdo a Experiencia.
Prestaciones de ley y superiores
Seguro de Gastos Médicos Mayores
Seguro de vida 

 
Si cumples con el perfil, postúlate por este medio, envíanos tu CV al correo que indica la vacante o bien envíanos un whatApps indicando la vacante y tus pretensiones económicas y nos pondremos en contacto contigo .

 
¡Gracias por tu interés en unirte a nuestro equipo!

 
""En Gonet México, queda estrictamente prohibido solicitar certificados médicos de no embarazo y Virus de Inmunodeficiencia Humana (VIH) como requisitos para el ingreso, permanencia o ascenso en el empleo. Tampoco se discriminará a ninguna persona por motivos de raza, religión, orientación sexual, condición física o socioeconómica, ni por ningún otro motivo",No especificado,Empleado de tiempo completo,Nivel Básico,,4 años,,"Java, Office, Scrum, Jenkins, Devops, UML",Remote,Remoto,2021-11-08
451,React Developer,"No especificado, No especificado",Growth Acceleration Partners,"Required skills
2-3+ years JavaScript experience (ES6, React, Node, etc.)
2+ years of React Experience
Responsive HTML & Sass/CSS
Consuming REST APIs
Git Experience
Excellent written and verbal communication skills
English Level: Intermediate
Bonus skills
FE testing tools (Jest, Mocha, Cypress)
SQL Knowledge
General AWS Knowledge: EC2, S3
As an engineer, you will
Collaborate with a cross-functional team of engineers, designers, and DevOps to implement features and ship new experiences.
Find and address mobile and desktop performance issues.
Expand upon our React-based component and templating libraries
Participate in code reviews, Scrum estimations, daily standups, and sprint retrospectives.
Work with product managers on new projects, from the idea phase all the way to production.
Our current stack
React
Ruby on Rails
Heroku
AWS (S3)",No especificado,Empleado de tiempo completo,Nivel Intermedio,,"2-3+ years, 2+ years","Collaborate, Comunication skills, Written and oral communication","HTML, CSS, JavaScript, SQL, Ruby, Jest, SASS, Node.js, React, Scrum, HerokU, Devops, AWS, EC2, S3, Git",, No especificado,2021-11-08
452,"""Desarrollador .Net con Angular"" (Contratación inmediata)","Miguel Hidalgo, Ciudad de México",Brainup,"Programador .Net Avanzado
Somos una Empresa Mexicana de consultoría en TI y nos dedicamos a la administración de proyectos en diferentes Estados de la República Mexicana con más de 20 años de experiencia. Únete a un excelente equipo de trabajo.

Requisitos:
· Edad: Indistinto
· Sexo: Indistinto
· Licenciatura en Sistemas o carrera a fin (pasante o titulado)
· Experiencia: 5 años como Programador en .net
· Inglés conversacional (indispensable)

Conocimientos:
1. Azure Devops.
2. Team Fundation Server.
3. Microsoft Project.
·  Manejo de tecnologías .NET, .NET Core, Angular, MVC, SQL Server, Microservicios, Web API (indispensable- Avanzado)
· Dominio intermedio con UML y herramientas de diseño (clases, secuencia, casos de usos y de estado).
· Competencia avanzada con herramientas de construcción e implementación (estudio visual, servidor de base de equipo).
· Comprensión intermedia de los principios de CI / CD.
·  Habilidades de programación avanzadas.
· Conocimiento avanzado de metodologías de desarrollo de software (como patrón de diseño de inyección de dependencias, principios de solid, Yagni Dry.
· Conocimiento avanzado del ciclo de vida del desarrollo de software (con metodología Scrum).
· Pruebas unitarias
.  Estar desarrollando actualmente en .Net

Ofrecemos:
· Prestaciones de ley
· Home Office
·  Sueldo 30,000 libres
· Excelente ambiente de trabajo
·  Contratación inmediata (en 2 días te damos una respuesta)
·  Horarios de Lunes a Viernes (disponibilidad de tiempo)
. Proyecto temporal

Comunícate con Lic. Elizabeth Fuentes para agendar entrevista 55 30 36 81 40 ó envía tu cv por WhatsApp","$ 25,000 a 30,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,"20 años, 5 años",,"SQL, SQL server, Angular, Office, Scrum, Devops, Azure, Web API, UML",, Ciudad de México,2021-11-08
453,DESARROLLADOR CLOUD OPS,"Cuauhtémoc, Ciudad de México",AsTecI,"IMPORTANTE EMPRESA DEL SECTOR BANCARIO CON PRESENCIA A NIVEL MUNDIAL SE ENCUENTRA EN BUSQUEDA DE DESARROLLADOR CLOUD OPS

REQUSITOS:
Idioma: Inglés conversacional (se realizara entevista)
Experiencia: 3años minino en puesto similar
  HERRAMIENTAS O TECNOLOGIAS:
AWS/GCP
Java
Spingboot
NodeJs
Maven
Shell´s
Git b
DeVops
Nexus
Terraform
Ansible
  OFRECEMOS:
Zona de trabajo: Toluca, por aeropuerto
Sueldo: $35,000 a $40,000 libres con base a experiencia
100% nomina
Prestaciones de Ley desde le primer día
Zona a laborar: Reforma/Tecnoparque o Toluca por aeropuerto","$ 40,000 a 45,000",Empleado de tiempo completo,Nivel Avanzado,,,,"Java, Ansible, Devops, AWS, GCP, Git, Terraform",, Ciudad de México,2021-11-08
454,Software Developer,Remoto - Solo México,Oracle de Mexico,"Java Developer
We are looking for people who strive for excellence and want to be part of a highly motivated team to build highly scalable solutions to enable the communication of the future.
Education:
B S in Computer Science, Computer Engineering, or equivalent.  Master’s degree is a plus, but not mandatory
Qualifications:
At least 4 years of software development experience. 
Strong knowledge in Java development.
Experience in Linux environments.
Knowledge of DevOps tools (not mandatory).
Experience working with agile methodologies.
Advanced English: written and spoken.
Soft Skills:
Excellent problem solving, analytical skills and technical troubleshooting skills.
Ability to learn new skills quickly as needed.
Working with application teams and other stakeholders.
                                            This is a great opportunity, come join us!",No especificado,Empleado de tiempo completo,Nivel Avanzado,Master,4 years,"Analitical, Comunication skills, Continuously learn, Motivated, Problem solving","Java, Linux, Devops",Remote,Remoto,2021-11-08
455,JAVA API BACKEND DEVELOPER,"Benito Juárez, Ciudad de México",Integral Ares de Mexico S.A de C.V,"Puesto: JAVA API BACKEND DEVELOPER.
Ubicación:  Cd de México.
 Benito Juárez.

- Actualmente se manejan planes de trabajo presencial remoto e hibrido.

-REQUISITOS.
- Licenciatura o ingeniería terminada.
- Ingles intermedio avanzado.
-Mas de 4 años de experiencia en webservice SOAP o REST  usando Java Spring/ Spring boots framework.
- Experiencia utilizando la Nube como ( Pivotal cloud froundry o AWS o contenedores Dockers o Kubernates)
-Experiencia en metodología AGILE / SCRUM.
-Experiencia con herramientas GIT,  GITHUB DevOps.
-Experiencia en SQL y experiencia en DB2, Oracle o SQL Server.

-OFRECEMOS.
-Sueldo de hasta 70K según habilidades.
-Plan de beneficios superiores a las de la ley.
-Aguinaldo 30 días 
-De gastos médicos mayores.
-Contrato directo.

Interesado postularse por este medio.","$ 60,000 a 70,000",Empleado de tiempo completo,Nivel Avanzado,Licenciatura,4 años,,"Java, SQL, SQL server, Oracle, Spring, Scrum, Devops, AWS, Git, Github",, Ciudad de México,2021-11-08
456,Developer,"Monterrey, Nuevo León",COBUSINESS,"Diseñar y desarrollar productos integrales web, asegurando el funcionamiento y cumplimiento de todos los procesos.
• Desarrollo de productos web a partir de requerimientos de diseño (Front-End y Back-End)
• Desarrollo de aplicaciones móviles a partir de requerimientos de diseño (iOS y Android).
• Soporte a proyectos basados en web y app.
Lenguaje: JavaScript, TypeScript
Frameworks: F.E Vue
Frameworks: B.E Express,
Fethers: Base de Datos MySQL
Plus: Ecommerce Site, Arq. De Datos, Devops.                                                                                                                                                                                                         Experiencia: de 2 a 3 años                                                                                                                                                                                                                    Escolaridad: Licenciatura en sistemas, computación, TI o a fin","$ 15,000 a 20,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,,"JavaScript, TypeScript, MySQL, Vue.js, Android, Devops",, Nuevo León,2021-11-08
457,,,,,,,,,,,,,,2021-11-08
458,Desarrollador RUBY ON RAILS,"Monterrey, Nuevo León",ISITA,"En ISITA   Estamos buscando profesionistas emprendedores y sobresalientes, que quieran sumarse a nuestra empresa para crecer juntos y compartir nuestra pasión por la tecnología. 

REQUISITOS:

Más de 2 años de experiencia desarrollando, manteniendo y liberando aplicaciones web en Ruby on Rails.
Experiencia en integración de tecnologías de Frontend ej. JavaScript, React, Vue, Angular, etc.
Consumir/desarrollar servicios REST.
Experiencia en entrega de proyectos para producción (deployments, CI/CD, Server provisioning, DBA and Devops).
Tener la capacidad de tomar decisiones.
Experiencia construyendo sistemas usando metodologías ágiles.
Buenos principios de desarrollo, así como experiencia haciendo pruebas, programación orientada a objetos, principios SOLID y clean architecture.
Excelentes habilidades de comunicación oral/escrita en español 
Inglés intermedio..",No especificado,Empleado de tiempo completo,Nivel Intermedio,,2 años,,"JavaScript, Ruby, Angular, React, Vue.js, Devops",, Nuevo León,2021-11-08
459,Windows Administrator,"Cuauhtémoc, Ciudad de México",CPIM GROUP,"Importante empresa internacional de servicios de TI, consultoría y organización en soluciones de negocios.

Se encuentra en búsqueda de talento para la posición:


WINDOWS SYSADMIN


Para trabajar en:

Ciudad de México.
Guadalajara.
O Querétaro.


REQUISITOS:

Licenciatura / Ingeniería en Sistemas o afín.
Inglés Intermedio / Avanzado (conversacional).


EXPERIENCIA:

4+ años  como Administrador Windows.
Administración de Windows Server (2012).
Experiencia en IIS.
Conocimientos de MS SQL y los fundamentos de las aplicaciones .Net.
Herramientas de DevOps (Jenkins, Rundeck, Compass / Puppet, Gitlab, Shell Scripting, Powershell).


BENEFICIOS:

Sueldo de acuerdo a experiencia.
Esquema 100% nómina.
Prestaciones de ley.
30 días de Aguinaldo.
10 días de Vacaciones.
Vales de despensa.
Seguro de Vida.
Seguro de Gastos Médicos Mayores.



Si estás interesado/a, postúlate por este medio o envía tu  CV en inglés  al correo mencionado.

joyce . robles (a) cpimgroup . com

LinkedIn:  Joyce Robles",No especificado,Empleado de tiempo completo,Nivel Avanzado,Licenciatura,4+ años,,"SQL, Jenkins, Devops, Puppet",, Ciudad de México,2021-11-08
460,SOFTWARE DEVELOPER .NET,"Cuajimalpa de Morelos, Ciudad de México",IBERSEL INTERNACIONAL RH,"DESARROLLADOR DE SOFTWARE- SOFTWARE DEVELOPMENT. Ciudad de México y Alrededores. Únete a un equipo internacional. Empresa Canadiense ce cotiza en bolsa, con sede en México, lider en el sector de Soluciones de Card- Linked e inteligencia artificial busca un Desarrollador de software para el área de tarjetas de fidelización. Titulación: Ingeniero en Sistemas Computacionales o afín. Lenguas: Inglés avanzado. Experiencia 5 años en empresas de microservicios y mensajerías. Conocimientos: Herramientas de Microsoft, Azure Devops, .net, Dot net core, integración en cloud, servers, rest API, metodología agile, etc. Salario a convenir. Posibilidad trabajo en remoto/hibrido/oficina. Interesados enviar CV a",No especificado,Empleado de tiempo completo,Nivel Avanzado,Licenciatura,5 años,,"Devops, Azure, REST API",, Ciudad de México,2021-11-08
