Title,Location,Company,Description,Salary,Tipo_Puesto,English,Academy_grade,Years_Experience,SoftSkill,HardSkill,Remoto,Estado,Accessed_Date
Programador Java Jr,"Cuauhtémoc, Ciudad de México",Servicios Electrónicos Globales S.A. de C.V.,"Escolaridad:


Ing. en Sistemas computacionales o carreras a fin (100% créditos)

Conocimientos:


Desarrollo de aplicaciones web  experiencia mínima 1 año.             
Lenguaje de programación Java 6 o superior.
Lenguaje PL-SQL de preferencia en SQL Server.
Creación de procedimientos almacenados, sentencias DDL y DML.
Frameworks Eclipse, STS, Netbeans.
Manejo de JSF y JSPs.
Herramientas de versionamiento SVN, Git.

Funciones:

Asistir en el desarrollo para cubrir los aspectos de diseño y codificación de software.
Aprender el código base y responder a solicitudes del equipo de desarrollo.
Mejorar sus habilidades de codificación.


Ofrecemos:


$25,000 brutos + prestaciones de ley
40 días de aguinaldo
10 días de vacaciones
Seguro gastos médicos mayores y menores
Esquema de pago 100% nómina
Vacante indefinida con oportunidad de crecimiento
Home Office (por contingencia Covid)
CONTRATACION INMEDIATA","$ 20,000 a 25,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,1 año,,"Java, SQL, SQL server, Office, Git",, Ciudad de México,2021-11-04
Programador Sr Java,"Cuauhtémoc, Ciudad de México",Servicios Electrónicos Globales S.A. de C.V.,"Programador Sr 


Escolaridad:

Ing. en Sistemas computacionales o carreras a fin (100% créditos)

Conocimientos:


Desarrollo de aplicaciones web  experiencia mínima 3 años en adelante.             
Lenguaje de programación Java 8 
Lenguaje PL-SQL de preferencia en SQL Server.
Creación de procedimientos almacenados, sentencias DDL y DML.
Frameworks Eclipse, STS, Netbeans.
Manejo de JSF y JSPs.
Herramientas de versionamiento SVN, Git.

Funciones:

Asistir en el desarrollo para cubrir los aspectos de diseño y codificación de software.
Aprender el código base y responder a solicitudes del equipo de desarrollo.
Mejorar sus habilidades de codificación.


Ofrecemos:


$30,000 brutos + prestaciones de ley
40 días de aguinaldo
10 días de vacaciones
Seguro gastos médicos mayores y menores
Esquema de pago 100% nómina
Vacante indefinida con oportunidad de crecimiento
Home Office (por contingencia Covid)
CONTRATACION INMEDIATA","$ 30,000 a 35,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,3 años,,"Java, SQL, SQL server, Office, Git",, Ciudad de México,2021-11-04
51355847 - Oracle DBA Expert,Remoto - Solo México,DXC Technology,"MAIN RESPONSIBILITIES:
SUPPORT | MONITORING:

* Manage Oracle Real Application Cluster (RAC) and single instance Data Guard (DG) databases running on HPUX, RHEL, CentOS and SLES platforms.
* Write and schedule shell scripts via cron and OEM (PL/SQL stored procedures knowledge).
* Ensure database objects (views, stored procedures, triggers, constraints, etc.) and SQL statements meet performance, standards (naming and DB design) and security objectives.
* Design / Create new Oracle databases, create new schemas/database objects (tables structures & storage Mgmt, Indexes, constraints, triggers, Stored Procedures, Etc), as well as making database changes from DEV to PROD, following request/demands from the development team (per the technical specifications) or as result of translate business requirements.
* Alter Databases Structures as needed.
* Clon environments to create patch test, development and QA environments.
* Support Oracle Databases (10g, 11g, 12c, 18c) on HP-UX, RHEL, SLES, CentOS and Windows platforms.
* Support applications for DB accounts creation, pwd reset, security, DB integrity, failover, schemas management (Administering / manage tables, indexes and tablespaces).
* Maintaining system security, controlling and monitoring user access to the database.
* Monitor constantly / regularly performance and troubleshoot database issues using (Alert log files & Trace files) and OEM tool (unusual conditions, i.e. database contention, load throughput, cache utilization, etc.).
* Monitor regularly whether primary and standby databases are in sync and clearing the backed up archive log files after confirming that they are applied on the standby database (Synchronize Standby DBs).
* Monitor database objects growth, managing the extents growth and de-fragmenting objects, which are running out of maximum extents (excessive fragmentation of table spaces and taking remedial steps), optimize space.
* Space Management: Perform Table space Management (size and schema objects) and Rollback table space Management, allocate system storage, plan future storage requirements
* Apply Health Check and solve findings to ensure stable and compliance environments.
* Work alongside other team members to successfully perform migration, export/import job (or Data pump), refresh.
  PERFORMANCE :

* Execute overall health check pertain to performance tuning, backup and recovery, etc. for heterogeneous environment.
* Performance tuning (overall performance of processes) using Enterprise Manager Grid Control, ADDM and Oracle AWR tuning advisor reports, explain Plan.
* Monitor and trace poor performing queries for tuning opportunities and work closely with developers to optimized them.
* Collecting statistics using and explain Plan and Tkprof during performance slowdowns. Collecting the statistics of tables and indexes by analyzing for cost-based optimizer mode.
BACKUP/RESTORE | IMPORT/EXPORT  | CLONING:

* Manage all Oracle DB aspects (backup/flash backup, restore, recovery, refreshes, code migration, etc.) on development, test, and production Oracle databases running on HPUX, REHL, CentOS and SLES.
* Plan, implement, maintain, review and revise backup and Disaster Recovery (DR) strategies; schedule physical backups using RMAN and logical backups using Data Pump together other tools for this purpose.
* Perform Cold Backup, Hot Backup, incremental backups and Restores
* Oracle DG implementation, standby, ""log shipping"" to switchover/failover site.
* Assist development teams on the DB objects, schemas, and data loads (using Data Pump and export/import utility).

DATABASE BUILDS | PATCHING:

* Install, Create, Configure and Patch Oracle Databases (10g, 11g, 12c, 18c, 19c) on HP-UX, RHEL, SLES, CentOS and Windows platforms (Subject Matter Expert, in-depth knowledge).
* Apply CPU/PSU and upgrade Oracle DBs
* Define, plan, coordinate and follow up patching strategy.

TECHNOLOGIES:
MUST : Oracle technologies: Oracle Recovery manager (RMAN), Oracle Data Guard (DG), Oracle Automation Storage Management (ASM), Oracle Real Application cluster (RAC), Oracle Enterprise Manager (OEM), Oracle Automated Workflow Repository (AWR), Automatic Cluster File System (ACFS), RHEL, SLES, CentOS, HP-UX, Unix/Linux Shell Scripting
DESIRED: Non-SQL: Postgress, MongoDB, MariaDB, MSQL, Azure, AWS
SKILLS:
TECHNICAL SKILLS:
* Understand the theories and components that make the system function.
* Knowledge of Structured Query Language (SQL and PL/SQL).
* Designing databases using Oracle Software and knowledge of SQL
* Testing database applications to ensure functionality and quality
* Performing regular security updates to keep user data safe
* Helping users to navigate and use database functions
* Advisor. Provide guidance about new technologies and software to follow up the trends.
   
SOFT SKILLS:
* People who thrive in a collaborative environment.
* Problem-solver who can maintain focus for long periods of time.
* Collaborating with team members, other teams and other disciplines as one if highest values.
* Customer Service advocacy as one of the highest values.
* Enjoy challenge to discover, research, solve and propose alternatives to problems
EDUCATION :
 Bachelor’s degree in Computer Science, Information Systems Management, or related field.
(database construction, database management, programming languages, database security, and other similar topics).
YEARS OF EXPERIENCE : 5-8 Years
LANGUAGES: Advanced English",No especificado,Empleado de tiempo completo,Nivel Avanzado,Bachelor,5-8 Years,"Collaborate, Problem solving","SQL, MongoDB, Oracle, Linux, unix, AWS, Azure",Remote,Remoto,2021-11-04
Desarrollador Oracle OIC,"Cuajimalpa de Morelos, Ciudad de México",Human Team and Technology,"IMPORTANTE EMPRESA TI Se encuentra en búsqueda de DESARROLLADOR ORACLE OIC 
Profesional de Sistemas / Informática con 3 años de experiencia mínimo 
Experiencias en base de datos relacionales (RDBMS), preferiblemente Oracle y MS SQL Experiencia en desarrollo de PLSQL 
Store Procedure y Package Procedure 
Experiencia en servicios (WEBSERVICES) SOA y REST JSON 
Experiencia en sistemas operativos Linux y Windows 
Experiencia en Plataforma Oracle OIC, Centrify y Office 365
Dominio Inglés 
Requerimientos no técnicos: Excelente actitud Proactivo, capacidad de análisis, fácil adaptación 
Disponibilidad de horario 
Ofrecemos: Salario en base a experiencia","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Avanzado,,3 años,Proactivo,"SQL, Oracle, Office, Linux, SOA",, Ciudad de México,2021-11-04
Senior Java developer Bilingual,Remoto - Solo México,Experience IT,"Java Developer

Required skills:

Java SE 8+
 JPA/Hibernate
Software Design Patterns Microservice and REST Architecture
Maven JUnit/Mockito Json/XML/XSD GIT/Git Flow
Nice to have Java EE
PCF
Docker
Kubernetes
AWS
Spring Data
Spring Cloud
Jenkins
Kafka
Oracle PL/SQL
Mongo DB / No-SQL
Eclipse / IntelliJ
Spring Spring MVC Spring Boot
Importante: Ingles Avanzado Conversacional

Ofrecemos:
• Sueldo negociable de acuerdo con tus pretensiones económicas 
• Esquema 100% Nomina
• Prestaciones de ley y Superiores
• Horario de Trabajo: Lunes a Viernes
• Zona de Trabajo: Full Home Office","$ 60,000 a 70,000",Empleado de tiempo completo,Nivel Avanzado,,,,"Java, SQL, MongoDB, Oracle, Spring, Office, Docker, Jenkins, Kubernetes, Kafka, AWS, Git",Remote,Remoto,2021-11-04
Desarrollador Python,"Guadalajara, Jalisco",Involve,"DESARROLLADOR PYTHON

¡Te estamos buscando! Inicio HO posteriormente trabajo en sitio (Guadalajara, Jalisco)

Requisitos:
Ing en sistemas o afín
Inglés avanzado (conversacional)
3 años de experiencia trabajando con:
Python como lenguaje de programación
SQL
PL/SQL
Unix/Linux
Docker / Kubernetes
Cloud: Azure / AWS / GCP 

Funciones:
• Diseñará, desarrollará, modificará, depurará y / o mantendrá el código del software de acuerdo con las especificaciones de diseño funcional, no funcional y técnico.
• Trabajará en equipo, colaborará y agregará valor a través de la participación en revisiones de código de pares, proporcionará comentarios y sugerencias y trabajará con equipos multifuncionales para lograr los objetivos.
•   Se le animará a buscar activamente la innovación, la mejora continua y la eficiencia en todas las tareas asignadas.",No especificado,Empleado de tiempo completo,Nivel Avanzado,,3 años,,"Python, SQL, Linux, unix, Docker, Kubernetes, AWS, Azure, GCP",, Jalisco,2021-11-04
51355846 - Oracle DBA Expert,Remoto - Solo México,DXC Technology,"DXC Technology is looking for am Oracle DBA Expert

MAIN RESPONSIBILITIES:
SUPPORT | MONITORING:

* Manage Oracle Real Application Cluster (RAC) and single instance Data Guard (DG) databases running on HPUX, RHEL, CentOS and SLES platforms.
* Write and schedule shell scripts via cron and OEM (PL/SQL stored procedures knowledge).
* Ensure database objects (views, stored procedures, triggers, constraints, etc.) and SQL statements meet performance, standards (naming and DB design) and security objectives.
* Design / Create new Oracle databases, create new schemas/database objects (tables structures & storage Mgmt, Indexes, constraints, triggers, Stored Procedures, Etc), as well as making database changes from DEV to PROD, following request/demands from the development team (per the technical specifications) or as result of translate business requirements.
* Alter Databases Structures as needed.
* Clon environments to create patch test, development and QA environments.
* Support Oracle Databases (10g, 11g, 12c, 18c) on HP-UX, RHEL, SLES, CentOS and Windows platforms.
* Support applications for DB accounts creation, pwd reset, security, DB integrity, failover, schemas management (Administering / manage tables, indexes and tablespaces).
* Maintaining system security, controlling and monitoring user access to the database.
* Monitor constantly / regularly performance and troubleshoot database issues using (Alert log files & Trace files) and OEM tool (unusual conditions, i.e. database contention, load throughput, cache utilization, etc.).
* Monitor regularly whether primary and standby databases are in sync and clearing the backed up archive log files after confirming that they are applied on the standby database (Synchronize Standby DBs).
* Monitor database objects growth, managing the extents growth and de-fragmenting objects, which are running out of maximum extents (excessive fragmentation of table spaces and taking remedial steps), optimize space.
* Space Management: Perform Table space Management (size and schema objects) and Rollback table space Management, allocate system storage, plan future storage requirements
* Apply Health Check and solve findings to ensure stable and compliance environments.
* Work alongside other team members to successfully perform migration, export/import job (or Data pump), refresh.
  PERFORMANCE :

* Execute overall health check pertain to performance tuning, backup and recovery, etc. for heterogeneous environment.
* Performance tuning (overall performance of processes) using Enterprise Manager Grid Control, ADDM and Oracle AWR tuning advisor reports, explain Plan.
* Monitor and trace poor performing queries for tuning opportunities and work closely with developers to optimized them.
* Collecting statistics using and explain Plan and Tkprof during performance slowdowns. Collecting the statistics of tables and indexes by analyzing for cost-based optimizer mode.
BACKUP/RESTORE | IMPORT/EXPORT  | CLONING:

* Manage all Oracle DB aspects (backup/flash backup, restore, recovery, refreshes, code migration, etc.) on development, test, and production Oracle databases running on HPUX, REHL, CentOS and SLES.
* Plan, implement, maintain, review and revise backup and Disaster Recovery (DR) strategies; schedule physical backups using RMAN and logical backups using Data Pump together other tools for this purpose.
* Perform Cold Backup, Hot Backup, incremental backups and Restores
* Oracle DG implementation, standby, ""log shipping"" to switchover/failover site.
* Assist development teams on the DB objects, schemas, and data loads (using Data Pump and export/import utility).

DATABASE BUILDS | PATCHING:

* Install, Create, Configure and Patch Oracle Databases (10g, 11g, 12c, 18c, 19c) on HP-UX, RHEL, SLES, CentOS and Windows platforms (Subject Matter Expert, in-depth knowledge).
* Apply CPU/PSU and upgrade Oracle DBs
* Define, plan, coordinate and follow up patching strategy.
TECHNOLOGIES:
MUST : Oracle technologies: Oracle Recovery manager (RMAN), Oracle Data Guard (DG), Oracle Automation Storage Management (ASM), Oracle Real Application cluster (RAC), Oracle Enterprise Manager (OEM), Oracle Automated Workflow Repository (AWR), Automatic Cluster File System (ACFS), RHEL, SLES, CentOS, HP-UX, Unix/Linux Shell Scripting
DESIRED: Non-SQL: Postgress, MongoDB, MariaDB, MSQL, Azure, AWS
SKILLS:
TECHNICAL SKILLS:
* Understand the theories and components that make the system function.
* Knowledge of Structured Query Language (SQL and PL/SQL).
* Designing databases using Oracle Software and knowledge of SQL
* Testing database applications to ensure functionality and quality
* Performing regular security updates to keep user data safe
* Helping users to navigate and use database functions
* Advisor. Provide guidance about new technologies and software to follow up the trends.
   
SOFT SKILLS:
* People who thrive in a collaborative environment.
* Problem-solver who can maintain focus for long periods of time.
* Collaborating with team members, other teams and other disciplines as one if highest values.
* Customer Service advocacy as one of the highest values.
* Enjoy challenge to discover, research, solve and propose alternatives to problems
EDUCATION :
 Bachelor’s degree in Computer Science, Information Systems Management, or related field.
(database construction, database management, programming languages, database security, and other similar topics).
YEARS OF EXPERIENCE : 5-8 Years
LANGUAGES: Advanced level of English",No especificado,Empleado de tiempo completo,Nivel Avanzado,Bachelor,5-8 Years,"Collaborate, Problem solving","SQL, MongoDB, Oracle, Linux, unix, AWS, Azure",Remote,Remoto,2021-11-04
Soporte Funcional Oracle Bilingüe,"Cuauhtémoc, Ciudad de México",BAG Consultoría Especialzada,"Estamos buscando a Consultores Funcionales en Oracle Bilingües para servicios de Soporte.

Experiencia: 

Conocimiento técnico práctico en los módulos de aplicación de Oracle EBS (versión 12) / Oracle Cloud Applications  (SaaS y PaaS)
De 4-8 años de experiencia en desarrollo de aplicaciones en formularios Oracle, informes, PL / SQL, shell UNIX, BI Publisher, Discoverer, OAF, Java.  
Debe tener experiencia previa en Programas de Implementación, Rollout, Upgrade, 
Soporte con experiencia en Automatización de herramientas, procesos y scripts de prueba


Experiencia no necesaria en todas las herramientas mencionadas !!

Habilidades técnicas indispensables:

Haber participado en algún proceso con aplicaciones de EBS: PL / SQL, Oracle Forms / Reports, Unix Shell Scripts, Discoverer, Workflow, Java / JSP 
Informes de BI Publisher, Web ADI, OAF, SOA

Experiencia no necesaria en todas las herramientas mencionadas !!


Amplio conocimiento en: 

PaaS Customizations, VBCS, Oracle Integration Cloud, extractos de HCM, transferencia de archivos HDL, informes BIP / OTBI, SQL, PL / SQL, Java / JSP


Habilidades:

Debe tener muy buenas habilidades de comunicación 
(Inglés - Leer / Escribir / Hablar)
Debe tener gran capacidad de trabajo en equipo.
Dispuesto a aprender nuevas tecnologías.
Autodidacta.
Trabajar en turnos rotativos.

Envía tu cv al correo electrónico de esta publicación.

Nosotros nos comunicamos contigo a la brevedad.","$ 40,000 a 45,000",Empleado de tiempo completo,Nivel Avanzado,,4-8 años,Trabajo en equipo,"Java, SQL, Oracle, unix, SOA",, Ciudad de México,2021-11-04
Java Developer,"Illinois, USA",Asymmetric Business Dynamics,"Java Developer
United States
Job Responsibilities:
We are looking for a Senior Java Developer with very good hands-on experience.
Must have good knowledge of Java, JSP, Spring and Struts MVC Framework.
Knowledge of Spring Boot, Spring Integration is preferred.
Must have skills in
Java/J2EE, JSP, Spring MVC and Struts Framework, PLSQL.
Desired skills:
Spring Boot, Microservices, Spring Integration, Pivotal Cloud.

Conversational English",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,,"Java, Spring, Microservices",, USA,2021-11-04
Arquitecto Tecnológico de Datos,Remoto,Coppel,"Escolaridad:
Licenciatura en Ingeniería en Sistemas, Informática, Sistemas Computacionales. Mandatorio en alguna de las siguientes: Maestría en Tecnologías de la información, Ciencias de la Computación, Administración de Negocios con especialidad en Finanzas.
Certificación en TOGAF.

Conocimientos:
En Arquitectura Orientado a Servicios (SOA – JEE y .NET). • En lenguajes base (Java, .NET, ABAP y PL/SQL), plataformas de ejecución (MS Windows, Linux, Sun Solaris, AIX), servidores de aplicaciones (Tomcat, WebLogic, WebSphere, JBOSS…) y bases de datos (Oracle, SQLServer, Informix, MySql o DB2). • En productos, librerías y frameworks del mercado, tanto para la construcción de la lógica de negocio (EJBS, Spring, Struts, JPA, Hibernate, Ibatis), como para la construcción del interfaz según las necesidades del dispositivo y del usuario final (JSF, JSP, aplicaciones nativas, silverlight, applets/Swing, Flex, Ajax, Html5). • En desarrollo de plugins para la construcción de herramientas sobre plataformas de desarrollo comúnmente utilizadas (Eclipse, netbeans). • En integración de productos y plataformas de distintos fabricantes, tales como sistemas de gestión de acceso y seguridad, sistemas de gestión documental, plataformas de comunicaciones, etc. • En componentes para integración y exposición de servicios JEE. • En componentes JEE para la Gestión integrada documental. • En componente para la gestión corporativa de datos (ETL, BI). • En gestión de acceso, de los datos, de la identidad y comunicaciones (DMS).

Experiencia:
5 a 7 años en los siguientes: • En almacenamiento de datos, modelado de datos y/o análisis de datos. • En tecnologías de bases de datos (p. Ej., SQL, NoSQL, Oracle, Hadoop, Teradata). • En ETL y otras herramientas de inteligencia empresarial. • En el desarrollo de estándares, principios y arquitectura de referencia. • En gestión e integración de datos y técnicas de desarrollo de bases de datos. • En modelado de relaciones entre entidades, sistemas de metadatos, herramientas y técnicas de calidad de datos. • En herramientas de datos. • En BI y generación de informes. • En UML (modelos de clases y casos de uso). • En modelos de gobernabilidad (TOGAF, ITIL, COBIT).",No especificado,Empleado de tiempo completo,Nivel Intermedio,"Licenciatura, Maestria",7 años,,"HTML, Java, SQL, NoSQL, MySQL, SQL server, Oracle, Spring, Linux, Hadoop, DMS, SOA, UML",Remote,Remoto,2021-11-04
Java Developer Bilingual,"Illinois, USA",coat,"Java Developer Bilingual 

United States

Job Responsibilities:

We are looking for a Senior Java Developer with very good hands-on experience.
Must have good knowledge of Java, JSP, Spring and Struts MVC Framework.
Knowledge of Spring Boot, Spring Integration is preferred.
Must have skills in  Java/J2EE, JSP, Spring MVC and Struts Framework, PLSQL.

Desired skills:
Spring Boot, Microservices, Spring Integration, Pivotal Cloud.

Conversational English",No especificado,Empleado de tiempo completo,Nivel Avanzado,,,,"Java, Spring, Microservices",, USA,2021-11-04
Desarrollador SharePoint,"Guadalajara, Jalisco",BRADESCARD,"Licenciatura o ingeniería (Sistemas o Informática o a fin).
3 años de experiencia como Especialista Desarrollador de SharePoint “Configuración y Desarrollo-código”.
Análisis, desarrollo y mantenimiento de SharePoint, así como conocimientos sólidos en lenguajes de programación .net, visual Basic, C#, CS5, Html5, TypeScript, JavaScript, Python, PL/SQL.
Certificación deseable en soluciones de Microsoft SharePoint

Conocimientos en:
·        Skill desarrollado para Power APPS
·        Microsoft SharePoint Designer, Lenguajes de Programación.
·        Desarrollo de flujos de trabajo (muy importante).
·        Creación y administración de tablas o listas de SharePoint.
·        Adecuaciones
·        Desarrollos y Creación de sitios, repositorios, Subsitios.
·        Gestión de permisos.
digo""rrollo-c
Responsabilidades:
·        Desarrollar Flujos de trabajo en SharePoint
·        Administrar Accesos a sitios
·        Diseño y construcción de sitios
·        Creación de listas
·        Actualización de la plataforma
·        Reporte de avances
·        Resumen de actividades
·        Planear entregables
·        Resolver incidentes en SharePoint
·        Mantenimientos y controles de SharePoint
·        
Otras habilidades:
·        Iniciativa
·        Proactividad
·        Trabajo en equipo
  Disponibilidad de horario Lunes a viernes 08:30 a 17:30 hrs.","$ 15,000 a 20,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,Trabajo en equipo,"C/C++, Python, HTML, JavaScript, TypeScript, SQL",, Jalisco,2021-11-04
Arquitecto JavaScript - Remoto,Remoto - Solo México,XIDERAL,"Xideral somos una empresa de Tecnologías de la Información con 17 años de experiencia enfocados en el mercado digital. Actualmente estamos sumando talento a nuestro equipo como:

Arquitecto JavaScript 

Requerimos :

Ingeniería en sistemas o carrera afín - Concluida 
5 años de experiencia 

Conocimientos en:

Integración Continua
NodeJs,
Spring
 Vue
React
 Angular
MySQL,  Oracle, Postgres, Mongo, PL/SQL
Pruebas Unitarias
Jira
Mantis
Git 
Servidores Nginx, Tomcat o AWS 
 Scrum o  Kanban
Contenedores (Docker)

Ofrecemos: 

Sueldo base de $50,000 netos mensuales 
Esquema 100% nómina 
Prestaciones de ley 
Seguro de gasto médicos menores 
Seguro de vida 
Tarjeta de descuentos 
Capacitaciones mensuales 
Clases de inglés 

Interesados postular por este medio. ","$ 50,000 a 60,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,"17 años, 5 años",,"JavaScript, SQL, MongoDB, MySQL, PostgreSQL, Oracle, Angular, React, Spring, Vue.js, Scrum, Jira, Docker, AWS, Git",Remote,Remoto,2021-11-04
Arquitecto Tecnológico de Desarrollo,Remoto,Coppel,"Escolaridad:
Licenciatura en Ingeniería en Sistemas,Informática,Sistemas Computacionales, Ingeniería de software o afín. Mandatorio en alguna de las siguientes: Maestría en Tecnologías de la información, Ciencias de la Computación, Administración de Negocios con especialidad en Finanzas.
Certificación en TOGAF

Conocimientos: 
• En Arquitectura Orientado a Servicios (SOA – JEE y .NET). • En lenguajes base (Java, .NET, ABAP y PL/SQL), plataformas de ejecución (MS Windows, Linux, Sun Solaris, AIX), servidores de aplicaciones (Tomcat, WebLogic, WebSphere, JBOSS…) y bases de datos (Oracle, SQLServer, Informix, MySql o DB2). • En productos, librerías y frameworks del mercado, tanto para la construcción de la lógica de negocio (EJBS, Spring, Struts, JPA, Hibernate, Ibatis), como para la construcción del interfaz según las necesidades del dispositivo y del usuario final (JSF, JSP, aplicaciones nativas, silverlight, applets/Swing, Flex, Ajax, Html5). • En desarrollo de plugins para la construcción de herramientas sobre plataformas de desarrollo comúnmente utilizadas (Eclipse, netbeans). • En integración de productos y plataformas de distintos fabricantes, tales como sistemas de gestión de acceso y seguridad, sistemas de gestión documental, plataformas de comunicaciones, etc. • En componentes para integración y exposición de servicios JEE. • En componentes JEE para la Gestión integrada documental. • En componente para la gestión corporativa de datos (ETL, BI). • En gestión de acceso, de los datos, de la identidad y comunicaciones (DMS).

Experiencia:  
5 a 7 años de experiencia en los siguientes:
• Como Arquitecto de Soluciones en los sectores retail, financiero y logística. • En migración o Re-ingeniería de soluciones Legacy. • Liderando equipos técnicos como arquitectos de soluciones. • Implementando soluciones de software en la nube, AWS, GCP, Azure. • Implementando buenas prácticas y estándares de desarrollo. • En modelos de gobernabilidad (TOGAF, ITIL, COBIT).",No especificado,Empleado de tiempo completo,Nivel Intermedio,"Licenciatura, Maestria",7 años,,"HTML, Java, SQL, MySQL, SQL server, Oracle, Spring, Linux, AWS, DMS, Azure, GCP, SOA",Remote,Remoto,2021-11-04
Ingeniería de datos SAS,"Benito Juárez, Ciudad de México",CAPITAL EMPRESARIAL HORIZONTE SA DE CV,"Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita:
Ingeniería de datos SAS
Para laborar en CDMX
Perfil
Edad:  Indistinta.
Escolaridad:  Ingeniería en Sistemas, Informática o afín.
Estado Civil:  Indistinto.
Sexo:  Indistinto.
Experiencia:  Mínima de 3 años.
Idioma:  Inglés Intermedio – Avanzado Conversacional
Funciones que deberá dominar:
· Experiencia en desarrollo SAS + Teradata, Oracle, SAS, SQL, PL / SQL, ETL, Informática, Unix, Metodología Agile.
Conocimientos en plataforma SAS , Senior Desarrollador, Líder Técnico
Ofrecemos:
· Horario de Lunes a Viernes (horario de oficina)
· Sueldo a negociar según experiencia… en brutos (Esquema 100% nomina) + Prestaciones de Ley y Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, 10 días de vacaciones + 2 por año, PTU)
Interesados mandar su CV en formato Word al correo de contacto(arroba)horizonteempresarial.com.mx o comunicarse con la Lic. Nayeli Barrientos al 52 56 44 90 y 52 56 45 02.","$ 70,000 a 80,000",Empleado de tiempo completo,Nivel Intermedio,Licenciatura,3 años,,"SQL, Oracle, unix",, Ciudad de México,2021-11-04
DESARROLLADOR ORACLE,"Cuajimalpa de Morelos, Ciudad de México",Tienda NEto,"EN TIENDAS NETO TE ESTAMOS BUSCANDO
  Crea Valor Neto para México y forma parte de una de las mejores empresas para trabajar como “DESARROLLADOR  ORACLE”
  Zona: Santa Fe Cdmx.
  REQUISITOS:
-Ingeniería en Informática, Sistemas Computacionales, Ciencias de la Computación.
-Experiencia mínima de 3 años en el puesto.
-Manejo  de PL/SQL Oracle.
-Conocimiento básico de JAVA/WEB.
-Diseño de algoritmos de lógica para la implementación en BD.
-Experiencia en Erwin y herramienta de flujos de procesos.
  Funciones:
-Analizar/diseñar /desarrollar e implementar soluciones para contribuir en el cumplimiento de los objetivos.
-Cumplimientos de tiempos de entrega.
-Desarrollo de nuevas soluciones de software.
-Implementación y seguimiento de software liberado y existente.
  Ofrecemos
- Sueldo competitivo.
-Contratación directa con la empresa.
-100% nomina.
-Prestaciones de ley.
-15 días de aguinaldo.
-25% de prima vacacional.
-Seguro de Vida.
-Descuentos y beneficios empresariales.
-Estabilidad laboral.","$ 35,000 a 40,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,3 años,,"Java, SQL, Oracle",, Ciudad de México,2021-11-04
DESARROLLADOR SR ORACLE,"Cuajimalpa de Morelos, Ciudad de México",Tienda NEto,"EN TIENDAS NETO TE ESTAMOS BUSCANDO
  Crea Valor Neto para México y forma parte de una de las mejores empresas para trabajar como “DESARROLLADOR SR ORACLE”
  Zona: Santa Fe Cdmx.
  REQUISITOS:
-Ingeniería en Informática, Sistemas Computacionales, Ciencias de la Computación.
-Experiencia mínima de 7 años en el puesto.
-Manejo  de PL/SQL Oracle.
-Conocimiento básico de JAVA/WEB.
-Diseño de algoritmos de lógica para la implementación en BD.
-Experiencia en Erwin y herramienta de flujos de procesos.
  Funciones:
-Manejo de personal.
-Conducir las actividades diarias del equipo de proyecto, ejerciendo un control sobre resultados, plazos y calidad.
- Liderar y gerenciar el proyecto para lograr los resultados esperados en tiempo y forma.
-Analizar/diseñar /desarrollar e implementar soluciones para contribuir en el cumplimiento de los objetivos.
-Cumplimientos de tiempos de entrega.
-Desarrollo de nuevas soluciones de software.
-Implementación y seguimiento de software liberado y existente.
  Ofrecemos
- Sueldo competitivo.
-Contratación directa con la empresa.
-100% nomina.
-Prestaciones de ley.
-15 días de aguinaldo.
-25% de prima vacacional.
-Seguro de Vida.
-Descuentos y beneficios empresariales.
-Estabilidad laboral.","$ 45,000 a 50,000",Empleado de tiempo completo,Nivel Básico,Licenciatura,7 años,,"Java, SQL, Oracle",, Ciudad de México,2021-11-04
